[0524/175104.866:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0528/175730.673:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0529/012251.999:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0529/012327.636:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/112119.266:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/125210.174:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0531/150435.610:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/155010.208:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/175204.978:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/203639.439:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/212806.253:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/233327.432:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/233404.104:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0601/080721.418:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0601/150335.406:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0601/154129.472:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0601/164707.651:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0601/232446.461:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
